City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
211,Mujiayingzi,CN,2022-05-07 22:05:28,42.1167,118.7833,44.49,50,100,5.84,overcast clouds
212,Mokhsogollokh,RU,2022-05-07 22:05:29,61.4681,128.9203,39.38,88,100,3.76,overcast clouds
213,Salalah,OM,2022-05-07 22:02:23,17.0151,54.0924,79.39,83,13,6.38,few clouds
214,Cockburn Town,TC,2022-05-07 22:05:30,21.4612,-71.1419,80.56,69,40,6.91,scattered clouds
215,Dingle,PH,2022-05-07 22:05:31,10.9995,122.6711,78.12,87,21,8.55,few clouds
216,Thompson,CA,2022-05-07 21:55:43,55.7435,-97.8558,68.16,42,75,10.36,broken clouds
217,Sidney,AU,2022-05-07 22:05:32,-33.8679,151.2073,54.7,65,20,11.01,few clouds
218,Tigil,RU,2022-05-07 22:05:32,57.8,158.6667,34.16,79,100,21.83,overcast clouds
219,Linqiong,CN,2022-05-07 22:05:33,30.4159,103.4609,72.73,64,32,4.09,scattered clouds
220,Atar,MR,2022-05-07 22:05:34,20.5169,-13.0499,90.93,11,6,6.55,clear sky
221,Agadir,MA,2022-05-07 22:05:34,30.4202,-9.5982,75.65,35,58,4.94,broken clouds
222,Krasnyye Baki,RU,2022-05-07 22:05:35,57.131,45.1599,43.43,75,34,7.14,scattered clouds
223,Vardo,NO,2022-05-07 22:05:35,70.3705,31.1107,35.76,75,40,27.29,scattered clouds
224,Lata,PT,2022-05-07 22:06:36,40.1629,-8.3327,63.07,65,100,0.65,overcast clouds
225,Nioro,GM,2022-05-07 22:06:37,13.35,-15.75,85.64,35,7,7.67,clear sky
226,King City,US,2022-05-07 22:06:37,36.2127,-121.126,73.9,32,30,20.09,scattered clouds
227,La Palma,US,2022-05-07 22:06:38,33.8464,-118.0467,84.49,65,20,10.0,few clouds
228,Ca Mau,VN,2022-05-07 22:06:38,9.1769,105.15,79.39,86,78,5.77,broken clouds
229,Rundu,NA,2022-05-07 22:06:39,-17.9333,19.7667,65.41,36,62,0.29,broken clouds
230,Baghdad,IQ,2022-05-07 22:06:39,33.3406,44.4009,64.31,42,0,3.44,clear sky
231,Tazovskiy,RU,2022-05-07 22:06:40,67.4667,78.7,-4.29,100,47,5.79,scattered clouds
